DATE,GBP3MTD156N
2016-07-28,0.49813
2016-07-29,0.49388
2016-08-01,0.49138
2016-08-02,0.49344
2016-08-03,0.48969
2016-08-04,0.4825
2016-08-05,0.4125
2016-08-08,0.39656
2016-08-09,0.38625
2016-08-10,0.38125
2016-08-11,0.38563
2016-08-12,0.38875
2016-08-15,0.38563
2016-08-16,0.38438
2016-08-17,0.38313
2016-08-18,0.38781
2016-08-19,0.3875
2016-08-22,0.3875
2016-08-23,0.38625
2016-08-24,0.38688
2016-08-25,0.38719
2016-08-26,0.38969
2016-08-29,.
2016-08-30,0.39
2016-08-31,0.3875
2016-09-01,0.38469
2016-09-02,0.38438
2016-09-05,0.38313
2016-09-06,0.37925
2016-09-07,0.37825
2016-09-08,0.37544
2016-09-09,0.38075
2016-09-12,0.37963
2016-09-13,0.37938
2016-09-14,0.37938
2016-09-15,0.38188
2016-09-16,0.38031
2016-09-19,0.37875
2016-09-20,0.37594
2016-09-21,0.37594
2016-09-22,0.37656
2016-09-23,0.37625
2016-09-26,0.37594
2016-09-27,0.37594
2016-09-28,0.37629
2016-09-29,0.37863
2016-09-30,0.38275
2016-10-03,0.38275
2016-10-04,0.38275
2016-10-05,0.38488
2016-10-06,0.3855
2016-10-07,0.39288
2016-10-10,0.39725
2016-10-11,0.39563
2016-10-12,0.39563
2016-10-13,0.39788
2016-10-14,0.40125
2016-10-17,0.401
2016-10-18,0.40213
2016-10-19,0.40575
2016-10-20,0.402
2016-10-21,0.40175
2016-10-24,0.40125
2016-10-25,0.40125
2016-10-26,0.40238
2016-10-27,0.40488
2016-10-28,0.40488
2016-10-31,0.40375
2016-11-01,0.40219
2016-11-02,0.39938
2016-11-03,0.399
2016-11-04,0.40644
2016-11-07,0.40363
2016-11-08,0.40131
2016-11-09,0.40306
2016-11-10,0.40181
2016-11-11,0.40056
2016-11-14,0.39775
2016-11-15,0.39775
2016-11-16,0.39838
2016-11-17,0.39769
2016-11-18,0.39838
2016-11-21,0.39838
2016-11-22,0.39838
2016-11-23,0.39838
2016-11-24,0.39838
2016-11-25,0.39088
2016-11-28,0.38775
2016-11-29,0.38588
2016-11-30,0.38463
2016-12-01,0.3845
2016-12-02,0.38375
2016-12-05,0.38363
2016-12-06,0.38225
2016-12-07,0.37938
2016-12-08,0.37688
2016-12-09,0.37688
2016-12-12,0.37563
2016-12-13,0.37688
2016-12-14,0.37563
2016-12-15,0.37313
2016-12-16,0.373
2016-12-19,0.37063
2016-12-20,0.36525
2016-12-21,0.36213
2016-12-22,0.36338
2016-12-23,0.36213
2016-12-26,.
2016-12-27,.
2016-12-28,0.36713
2016-12-29,0.36675
2016-12-30,0.36663
2017-01-02,.
2017-01-03,0.37025
2017-01-04,0.37225
